Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
536.125,25.9157,25.2685,24.6626,24.098,23.5741,23.0909,22.6481,22.2454,21.8827,21.5598,21.2764,21.0325,20.828,20.6628,20.5367,20.4497,20.4019,20.3931,20.4233,20.4927,20.6013,20.7491,20.9363,21.1628,21.429,21.7349,22.0807,22.4667,22.8929,23.3597,23.8674,24.4161,25.0062,25.638,26.3118,27.0279,27.7868,28.5887,29.4341,30.3234,31.2569
547.993,26.7363,26.0832,25.4718,24.9019,24.3733,23.8856,23.4386,23.0322,22.666,22.3401,22.0541,21.808,21.6016,21.4349,21.3078,21.2202,21.1721,21.1634,21.1943,21.2647,21.3746,21.5242,21.7135,21.9426,22.2117,22.5209,22.8705,23.2605,23.6911,24.1627,24.6755,25.2297,25.8256,26.4635,27.1437,27.8665,28.6323,29.4415,30.2944,31.1913,32.1328
559.86,27.5627,26.9039,26.2872,25.7124,25.179,24.687,24.236,23.8259,23.4565,23.1276,22.8391,22.5909,22.3827,22.2146,22.0865,21.9982,21.9499,21.9414,21.9728,22.0441,22.1554,22.3067,22.498,22.7296,23.0016,23.314,23.6671,24.061,24.496,24.9722,25.4899,26.0494,26.6509,27.2946,27.981,28.7103,29.4829,30.299,31.1591,32.0635,33.0126
571.728,28.3947,27.7305,27.1087,26.529,25.9911,25.4949,25.0401,24.6265,24.2539,23.9222,23.6313,23.3809,23.171,23.0016,22.8725,22.7836,22.7351,22.7267,22.7587,22.8309,22.9434,23.0963,23.2897,23.5237,23.7984,24.1139,24.4705,24.8682,25.3073,25.788,26.3104,26.875,27.4818,28.1313,28.8236,29.5592,30.3382,31.1611,32.0281,32.9398,33.8963
583.595,29.2322,28.5628,27.936,27.3516,26.8094,26.3091,25.8506,25.4336,25.058,24.7236,24.4302,24.1779,23.9663,23.7956,23.6655,23.5761,23.5273,23.5191,23.5516,23.6247,23.7384,23.8929,24.0883,24.3246,24.6019,24.9204,25.2803,25.6817,26.1247,26.6097,27.1368,27.7062,28.3183,28.9732,29.6713,30.4129,31.1982,32.0276,32.9014,33.8199,34.7836
595.463,30.075,29.4005,28.7689,28.18,27.6336,27.1294,26.6673,26.247,25.8685,25.5314,25.2358,24.9815,24.7684,24.5964,24.4654,24.3754,24.3264,24.3184,24.3513,24.4252,24.5402,24.6963,24.8935,25.132,25.4119,25.7333,26.0964,26.5013,26.9482,27.4373,27.9688,28.543,29.1601,29.8203,30.524,31.2713,32.0627,32.8983,33.7786,34.7039,35.6745
607.33,30.8403,30.1775,29.5547,28.972,28.43,27.9289,27.4686,27.0495,26.6715,26.3347,26.039,25.7845,25.5712,25.399,25.2679,25.178,25.1293,25.1217,25.1552,25.23,25.346,25.5033,25.702,25.9421,26.2238,26.5471,26.912,27.3188,27.7675,28.2582,28.791,29.366,29.9831,30.6424,31.3438,32.0873,32.8725,33.6993,34.5672,35.4754,36.4233
619.198,31.523,30.8825,30.2781,29.7108,29.1814,28.6904,28.2386,27.8261,27.4535,27.121,26.8288,26.5771,26.366,26.1956,26.066,25.9774,25.9298,25.9231,25.9576,26.0332,26.1499,26.3079,26.5071,26.7476,27.0294,27.3524,27.7167,28.1223,28.5691,29.0569,29.5857,30.1553,30.7652,31.4153,32.105,32.8337,33.6007,34.405,35.2455,36.1208,37.0291
631.065,32.1631,31.5443,30.9594,30.4094,29.8953,29.4177,28.9774,28.575,28.2109,27.8857,27.5997,27.3532,27.1465,26.9798,26.8533,26.7671,26.7215,26.7164,26.7519,26.8282,26.9452,27.103,27.3016,27.5409,27.8208,28.1413,28.5022,28.9035,29.3447,29.8257,30.3461,30.9055,31.5033,32.139,32.8118,33.5207,34.2649,35.0432,35.8542,36.6963,37.568
642.933,32.7726,32.1747,31.6091,31.0769,30.5788,30.1158,29.6886,29.2978,28.9441,28.6279,28.3498,28.1101,27.9093,27.7475,27.6251,27.5423,27.4992,27.4959,27.5326,27.6094,27.7261,27.8829,28.0797,28.3163,28.5927,28.9087,29.264,29.6583,30.0914,30.5627,31.0718,31.6181,32.2009,32.8195,33.4729,34.1603,34.8804,35.6321,36.4139,37.2245,38.0621
